Player	Team	GP	MIN	W	L	STL	BLK	DREB	DFGM	DFGA	DFG%
Derrick Jones Jr.	LAC	65	24.4	38	27	1.0	0.4	2.2	1.6	2.1	75.4
Derrick White	BOS	65	33.7	48	17	1.0	1.1	3.5	2.2	3.8	57.3
Desmond Bane	MEM	59	31.7	34	25	1.2	0.4	5.3	1.5	2.3	65.9
Devin Booker	PHX	65	37.4	33	32	1.0	0.2	3.1	2.0	2.7	71.3
Devin Carter	SAC	26	11.1	12	14	0.6	0.1	1.9	0.7	0.8	85.0
Devin Vassell	SAS	55	30.9	23	32	1.3	0.6	3.4	1.7	2.8	61.9
Dillon Brooks	HOU	67	32.5	43	24	0.8	0.2	2.7	1.8	2.6	71.5
Dillon Jones	OKC	43	9.5	36	7	0.2	0.1	1.5	0.5	0.7	69.0
Domantas Sabonis	SAC	57	34.7	30	27	0.6	0.4	9.9	4.2	6.4	65.2
Dominick Barlow	ATL	25	10.3	9	16	0.3	0.6	1.5	1.1	1.7	64.3
Donovan Clingan	POR	57	18.4	25	32	0.4	1.6	4.4	1.9	4.0	48.2
Donovan Mitchell	CLE	65	31.2	51	14	1.3	0.2	3.6	1.0	1.4	69.9
Donte DiVincenzo	MIN	53	26.5	30	23	1.2	0.2	3.2	1.4	2.0	66.7
Dorian Finney-Smith	LAL	51	28.1	29	22	0.9	0.3	2.5	2.2	3.5	63.0
Doug McDermott	SAC	36	7.9	18	18	0.1	0.1	0.4	0.5	0.9	56.3
Draymond Green	GSW	56	29.2	34	22	1.4	1.1	5.0	2.3	3.8	60.1
Drew Eubanks	LAC	51	13.1	16	35	0.2	0.7	2.9	1.5	2.7	54.0
Drew Peterson	BOS	19	7.9	13	6	0.3	0.1	1.3	0.2	0.5	40.0
Dru Smith	MIA	14	19.2	8	6	1.5	0.4	1.7	0.6	0.9	61.5
Duncan Robinson	MIA	67	24.5	28	39	0.6	0.1	2.1	1.5	1.9	78.5
Duop Reath	POR	40	9.7	17	23	0.3	0.3	1.1	1.0	1.8	56.9
Dwight Powell	DAL	46	9.7	21	25	0.3	0.5	1.3	1.0	1.8	56.0
Dyson Daniels	ATL	65	33.9	32	33	3.0	0.7	4.1	2.7	3.9	70.0
E.J. Liddell	CHI	7	4.7	2	5	0.1	0.1	0.6	1.0	1.3	77.8
Elfrid Payton	NOP	14	19.9	1	13	1.1	0.4	2.2	0.9	1.7	50.0
Elijah Harkless	UTA	9	13.3	1	8	1.0	0.1	1.3	0.8	0.9	87.5
Emanuel Miller	CHI	1	2.4	0	1	0.0	0.0	0.0	0.0	0.0	0.0
Emoni Bates	CLE	7	3.9	7	0	0.1	0.0	0.0	0.0	0.0	0.0
Enrique Freeman	IND	20	7.0	6	14	0.1	0.1	0.7	0.8	1.2	62.5
Eric Gordon	PHI	39	19.7	12	27	0.7	0.3	1.0	0.7	0.8	81.8
Evan Mobley	CLE	63	30.2	52	11	0.8	1.5	7.0	3.4	6.0	56.8
Franz Wagner	ORL	50	33.5	25	25	1.3	0.4	4.7	1.4	2.1	66.0
Fred VanVleet	HOU	53	35.3	36	17	1.6	0.4	3.4	1.6	2.2	72.2
GG Jackson	MEM	25	16.3	16	9	0.4	0.2	2.3	0.7	1.3	56.3
Gabe Vincent	LAL	60	21.3	39	21	0.7	0.2	1.0	0.8	1.3	65.3
Garrett Temple	TOR	25	7.3	10	15	0.6	0.1	0.8	0.4	0.7	61.1
Garrison Mathews	ATL	45	17.5	20	25	0.6	0.3	1.6	1.1	1.6	71.8
Gary Harris	ORL	36	15.4	19	17	0.6	0.3	0.9	0.9	1.2	78.6
Gary Payton II	GSW	55	14.7	33	22	0.7	0.3	2.0	0.7	1.2	57.6
Gary Trent Jr.	MIL	63	25.1	37	26	1.0	0.1	2.0	0.8	1.2	70.3
Georges Niang	ATL	68	21.8	50	18	0.4	0.2	3.0	1.7	2.4	70.6
Giannis Antetokounmpo	MIL	57	33.9	34	23	0.8	1.3	9.7	2.2	3.8	57.5
Goga Bitadze	ORL	59	21.3	30	29	0.7	1.6	4.4	2.3	4.0	58.5
