PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
Bradley Beal	PHX	44	21	23	32.3	3.0	0.5	18.3	4.9	60.9	0.3	65.5	7.9
Branden Carlson	OKC	12	11	1	9.7	2.1	0.7	32.0	3.5	59.5	0.3	64.1	5.3
Brandin Podziemski	GSW	52	30	22	26.3	4.0	0.7	18.4	6.2	64.2	0.5	69.4	6.2
Brandon Boston	NOP	39	7	32	24.9	2.7	0.4	16.0	3.9	70.2	0.2	73.6	7.3
Brandon Clarke	MEM	61	40	21	19.2	3.2	0.8	25.0	6.2	52.0	0.8	59.9	5.7
Brandon Ingram	TOR	18	5	13	33.1	4.6	1.3	27.7	7.3	63.4	0.6	68.6	6.5
Brandon Miller	CHA	27	8	19	34.2	3.9	0.5	13.2	6.7	58.2	0.9	66.7	7.5
Brandon Williams	DAL	18	8	10	18.8	2.0	0.4	22.2	3.6	56.3	0.4	64.3	8.6
Brice Sensabaugh	UTA	56	11	45	18.8	2.4	0.4	16.7	3.9	60.3	0.3	64.4	8.4
Bronny James	LAL	7	4	3	11.7	1.4	0.6	40.0	2.6	55.6	0.4	66.7	5.0
Brook Lopez	MIL	67	39	28	31.8	3.7	1.4	38.6	7.4	49.9	1.1	59.1	5.6
Bruce Brown	NOP	32	13	19	22.2	2.9	0.6	19.4	4.5	64.1	0.3	69.4	6.8
Bruno Fernando	TOR	14	2	12	9.4	2.1	0.5	23.3	3.8	56.6	0.4	62.5	4.6
Bryce McGowens	POR	3	2	1	3.5	0.3	0.0	0.0	0.3	100	0.0	100	7.2
Bub Carrington	WAS	68	13	55	29.5	3.6	0.5	12.6	5.8	62.4	0.4	66.8	7.3
Buddy Hield	GSW	65	39	26	23.2	2.8	0.4	13.1	4.6	60.8	0.4	66.3	8.2
CJ McCollum	NOP	54	16	38	32.8	3.1	0.4	13.2	4.9	62.5	0.4	67.9	9.0
Cade Cunningham	DET	65	37	28	35.1	5.4	1.2	23.3	8.0	67.3	0.5	71.6	6.9
Caleb Houstan	ORL	26	13	13	15.6	1.3	0.2	17.6	2.2	58.6	0.2	64.2	8.8
Caleb Martin	DAL	34	12	22	29.1	3.0	0.5	17.5	5.1	59.9	0.4	65.2	8.5
Cam Christie	LAC	4	2	2	6.1	1.3	0.0	0.0	1.3	100	0.0	100	7.1
Cam Reddish	LAL	22	10	12	19.7	2.2	0.6	28.6	3.5	63.6	0.2	67.1	10.1
Cam Spencer	MEM	10	7	3	15.9	1.6	0.3	18.8	3.0	53.3	0.8	72.7	10.5
Cam Thomas	BKN	23	7	16	31.3	2.9	0.5	16.7	5.2	55.5	0.7	64.1	7.6
Cam Whitmore	HOU	39	22	17	17.5	2.6	0.6	25.0	3.8	67.6	0.2	70.9	6.9
Cameron Johnson	BKN	54	20	34	32.0	3.4	0.7	19.5	6.0	56.7	0.6	63.6	8.1
Cameron Payne	NYK	48	31	17	15.2	1.6	0.2	11.8	2.5	64.4	0.1	68.5	9.5
Caris LeVert	ATL	49	37	12	25.1	2.7	0.7	26.9	4.7	57.0	0.5	63.7	7.1
Cason Wallace	OKC	57	46	11	27.9	2.5	0.6	24.5	4.7	53.4	0.5	59.1	9.7
Charles Bassey	SAS	30	10	20	12.0	3.2	0.8	26.3	5.1	62.5	0.8	74.2	3.8
Chet Holmgren	OKC	24	20	4	27.0	6.6	2.2	32.7	11.4	58.0	1.4	66.3	4.5
Chris Boucher	TOR	49	18	31	17.5	3.1	0.8	26.0	5.1	61.6	0.3	65.5	5.5
Chris Duarte	CHI	9	2	7	6.1	1.7	0.2	13.3	2.3	71.4	0.1	75.0	6.9
Chris Livingston	MIL	10	8	2	6.0	1.6	0.4	25.0	2.3	69.6	0.0	69.6	4.0
Chris Paul	SAS	64	29	35	28.0	3.5	0.5	14.7	6.0	58.9	0.6	65.8	8.8
Christian Braun	DEN	69	43	26	33.5	3.8	0.6	16.7	6.0	63.3	0.5	68.6	8.5
Christian Koloko	LAL	26	16	10	10.4	1.9	0.7	34.0	3.0	64.1	0.2	68.5	5.4
Chuma Okeke	PHI	6	1	5	23.1	3.2	0.8	26.3	5.3	59.4	0.0	59.4	7.3
Clint Capela	ATL	54	26	28	21.5	5.4	2.0	37.2	8.2	65.5	0.6	70.6	5.1
Coby White	CHI	59	25	34	33.4	3.5	0.6	17.2	5.8	59.6	0.6	66.0	8.7
Cody Martin	PHX	43	14	29	24.1	3.5	0.8	22.1	6.4	54.0	0.7	60.6	7.9
Cody Williams	UTA	38	7	31	21.6	2.2	0.3	14.6	3.8	56.6	0.2	60.3	8.7
Colby Jones	WAS	13	1	12	12.5	1.8	0.6	33.3	3.2	58.5	0.4	66.7	7.3
Cole Anthony	ORL	52	24	28	20.1	2.7	0.5	19.3	4.4	61.4	0.5	70.0	7.8
Cole Swider	DET	2	0	2	6.5	1.0	0.0	0.0	2.0	50.0	0.0	50.0	3.8
Colin Castleton	TOR	13	8	5	19.6	3.1	0.8	27.5	5.2	59.7	0.3	63.5	6.0
Collin Gillespie	PHX	17	8	9	11.6	1.4	0.4	25.0	3.3	42.9	0.4	49.0	7.0
Collin Sexton	UTA	53	13	40	28.1	1.9	0.3	14.1	3.5	53.8	0.4	60.7	12.9
Corey Kispert	WAS	59	13	46	26.3	2.4	0.5	20.1	4.4	55.2	0.5	61.8	7.3
Cory Joseph	ORL	22	9	13	13.4	1.4	0.2	12.9	2.5	57.4	0.3	64.6	10.3
Craig Porter Jr.	CLE	23	20	3	12.1	1.6	0.4	27.0	2.7	60.7	0.2	66.1	7.8
Cui Yongxi	BKN	1	0	1	5.7	2.0	0.0	0.0	4.0	50.0	0.0	50.0	8.1
D'Angelo Russell	BKN	49	25	24	26.3	2.6	0.3	13.5	4.7	54.5	0.6	62.4	7.5
D.J. Carton	TOR	2	1	1	12.6	2.0	0.0	0.0	2.5	80.0	0.5	100	10.7
DaQuan Jeffries	CHA	29	6	23	22.8	2.4	0.7	29.0	3.6	66.3	0.2	71.1	8.1
Daeqwon Plowden	ATL	2	1	1	16.4	1.0	0.0	0.0	3.0	33.3	0.5	40.0	12.2
Daishen Nix	MIN	2	2	0	5.5	2.0	0.5	25.0	2.5	80.0	0.0	80.0	5.4
Dalano Banton	POR	47	20	27	16.2	1.8	0.4	21.4	3.2	56.0	0.4	63.6	6.8
Dalen Terry	CHI	47	22	25	14.8	1.4	0.3	21.5	2.8	49.2	0.4	56.5	6.4
Dalton Knecht	LAL	59	36	23	21.5	2.7	0.4	16.0	4.2	65.3	0.3	70.1	7.2
Damian Lillard	MIL	57	32	25	36.1	4.1	0.7	16.9	6.9	60.2	0.5	64.5	8.3
Damion Baugh	CHA	9	0	9	25.1	2.8	0.4	16.0	4.3	64.1	0.2	67.6	10.5
Damion Lee	PHX	9	4	5	6.2	1.3	0.3	25.0	2.1	63.2	0.1	66.7	6.7
Daniel Gafford	DAL	50	26	24	22.0	4.2	1.7	39.8	8.8	48.2	1.1	55.2	4.1
Daniel Theis	NOP	36	10	26	16.9	3.3	1.0	30.8	5.5	60.9	0.6	68.6	4.5
Danté Exum	DAL	14	5	9	19.7	1.9	0.4	23.1	2.8	66.7	0.1	70.3	9.5
Dario Šarić	DEN	13	6	7	14.1	2.6	1.4	52.9	4.7	55.7	0.3	59.6	5.4
Dariq Whitehead	BKN	4	2	2	10.4	1.3	0.5	40.0	1.8	71.4	0.0	71.4	4.8
Darius Garland	CLE	62	49	13	30.9	2.3	0.3	12.4	3.7	63.0	0.2	65.9	10.3
David Duke Jr.	SAS	2	0	2	3.0	1.5	0.5	33.3	2.0	75.0	0.5	100	7.4
David Roddy	HOU	22	5	17	15.4	3.0	0.7	22.7	4.7	64.1	0.4	70.2	5.7
Davion Mitchell	MIA	50	13	37	27.2	2.1	0.2	10.4	4.0	52.5	0.5	59.2	10.7
Day'Ron Sharpe	BKN	48	14	34	18.0	3.6	1.1	31.6	6.6	54.9	0.7	61.7	3.9
De'Aaron Fox	SAS	61	26	35	36.1	3.9	0.7	18.4	5.9	66.2	0.5	72.0	8.6
De'Andre Hunter	CLE	51	30	21	27.4	3.5	1.0	29.1	6.2	56.6	0.6	62.4	6.6
De'Anthony Melton	BKN	6	4	2	20.2	2.3	0.3	14.3	4.3	53.8	0.7	63.6	8.3
DeAndre Jordan	DEN	45	31	14	12.0	3.5	1.0	27.0	5.0	70.4	0.3	75.4	5.0
DeMar DeRozan	SAC	60	30	30	35.9	3.5	0.9	24.4	6.0	58.1	0.7	65.1	8.2
Dean Wade	CLE	49	41	8	21.7	3.8	1.2	32.1	6.4	59.0	0.7	65.7	5.5
Deandre Ayton	POR	39	17	22	30.4	7.2	2.2	30.1	10.5	68.6	0.7	73.6	4.9
Dejounte Murray	NOP	31	9	22	32.6	5.9	1.1	18.0	9.0	65.8	0.7	71.2	6.3
Delon Wright	NYK	20	11	9	17.1	1.7	0.3	15.2	2.8	58.9	0.2	63.5	7.8
Deni Avdija	POR	66	31	35	29.4	5.6	1.2	20.9	9.3	60.1	0.7	65.0	4.8
Dennis Schröder	DET	58	30	28	27.9	2.5	0.3	12.6	4.4	55.9	0.4	60.9	10.2
Dereck Lively II	DAL	31	19	12	24.7	4.9	1.4	28.9	9.1	53.7	1.1	61.3	4.5
Derrick Jones Jr.	LAC	62	37	25	24.8	2.3	0.5	21.0	3.9	58.6	0.4	64.7	8.2
Derrick White	BOS	64	48	16	33.9	3.5	0.8	21.7	6.3	55.9	0.6	62.3	7.8
Desmond Bane	MEM	57	33	24	31.6	5.4	1.1	20.7	8.6	62.4	0.6	67.2	6.5
Devin Booker	PHX	64	32	32	37.4	3.1	0.6	20.4	5.5	57.1	0.4	61.3	9.3
Devin Carter	SAC	23	12	11	12.2	2.1	0.5	22.4	3.0	71.0	0.1	74.2	6.9
Devin Vassell	SAS	52	22	30	31.4	3.6	1.0	29.0	6.0	60.0	0.6	66.9	6.5
Dillon Brooks	HOU	64	42	22	32.7	2.9	0.6	21.2	5.6	51.0	0.6	57.0	7.6
Dillon Jones	OKC	31	25	6	11.4	2.1	0.5	23.1	3.5	59.6	0.2	63.1	5.4
Domantas Sabonis	SAC	56	29	27	35.3	10.1	2.6	25.6	16.0	63.0	1.8	71.1	4.0
Dominick Barlow	ATL	20	7	13	11.8	1.9	0.4	21.6	3.3	56.9	0.4	64.9	6.7
Donovan Clingan	POR	57	25	32	18.4	4.4	1.6	36.7	7.5	58.5	0.8	65.5	4.5
Donovan Mitchell	CLE	64	50	14	31.3	3.7	0.6	17.5	5.7	64.1	0.4	68.8	8.8
Donte DiVincenzo	MIN	53	30	23	26.5	3.2	0.6	19.5	5.2	61.2	0.5	67.9	7.6
Dorian Finney-Smith	LAL	51	29	22	28.1	2.5	0.9	34.6	5.5	46.8	0.8	54.4	6.3
Doug McDermott	SAC	14	6	8	10.8	1.1	0.2	18.8	1.9	61.5	0.2	69.6	7.3
Draymond Green	GSW	55	34	21	29.4	5.1	1.4	28.1	8.5	60.3	0.7	66.0	5.4
Drew Eubanks	LAC	46	14	32	13.9	3.2	1.0	30.2	5.4	60.3	0.5	65.9	4.4
Drew Peterson	BOS	12	9	3	11.4	2.1	0.6	28.0	3.0	69.4	0.3	75.8	6.3
Dru Smith	MIA	12	8	4	17.3	2.0	0.8	37.5	3.0	66.7	0.3	75.0	9.3
Duncan Robinson	MIA	59	25	34	25.0	2.4	0.4	16.5	3.8	61.2	0.4	67.5	9.0
Duop Reath	POR	27	12	15	12.7	1.6	0.7	41.9	3.3	48.3	0.3	53.8	5.4
Dwight Powell	DAL	33	14	19	12.3	1.8	0.6	33.9	3.3	54.6	0.5	63.4	5.5
Dyson Daniels	ATL	65	32	33	33.9	4.1	0.9	21.1	6.7	60.7	0.7	67.3	6.2
E.J. Liddell	CHI	2	1	1	10.8	2.0	1.0	50.0	4.0	50.0	0.5	57.1	23.8
Elfrid Payton	NOP	12	1	11	21.8	2.6	0.6	22.6	4.8	54.4	0.4	59.6	8.2
Elijah Harkless	UTA	8	1	7	14.6	1.5	0.5	33.3	2.5	60.0	0.3	66.7	5.7
Enrique Freeman	IND	11	2	9	9.5	1.2	0.3	23.1	2.7	43.3	0.4	50.0	5.5
Eric Gordon	PHI	29	9	20	20.7	1.3	0.2	15.8	2.6	51.4	0.2	56.7	10.1
Evan Mobley	CLE	63	52	11	30.2	7.0	2.4	33.8	11.3	62.1	1.0	68.4	4.7
Franz Wagner	ORL	50	25	25	33.5	4.7	0.7	15.0	7.0	67.0	0.6	73.6	8.2
Fred VanVleet	HOU	51	35	16	35.6	3.5	0.5	14.0	5.7	61.7	0.4	65.8	9.7
GG Jackson	MEM	22	14	8	17.3	2.6	0.3	10.5	4.2	62.0	0.3	67.1	6.1
Gabe Vincent	LAL	41	27	14	22.3	1.4	0.3	18.6	3.0	48.8	0.4	56.2	11.3
Garrett Temple	TOR	12	5	7	11.7	1.6	0.2	10.5	2.3	70.4	0.1	73.1	7.3
Garrison Mathews	ATL	36	17	19	18.8	1.9	0.3	17.1	3.3	58.3	0.2	61.9	8.0
Gary Harris	ORL	27	16	11	16.5	1.1	0.1	9.7	2.0	57.4	0.3	66.0	11.2
Gary Payton II	GSW	51	29	22	14.8	2.2	0.6	27.7	3.9	56.0	0.5	65.1	5.6
Gary Trent Jr.	MIL	53	30	23	25.3	2.4	0.3	12.6	3.5	67.6	0.2	72.2	8.4
